,attendee_id,country,attend_as,field
0,A00016,Japan,General,17
1,A00017,Japan,General,8
2,A00018,France,General,13
3,A00019,Germany,General,5
4,A00020,Germany,General,5
5,A00021,France,General,3
6,A00022,France,General,3
7,A00023,UK,General,16
8,A00024,Germany,General,4
9,A00025,United States of America,General,14
10,A00026,Brazil,Student,
11,A00027,Japan,General,
12,A00029,India,Student,
13,A00030,Australia,General,13
14,A00031,Australia,General,4
15,A00032,UK,Student,14
16,A00033,United States of America,General,14
17,A00035,Japan,General,17
18,A00036,Poland,General,17
19,A00037,Taiwan,Student,13
20,A00038,Canada,General,3
21,A00039,Japan,General,10
22,A00040,Estonia,General,
23,A00041,Japan,General,7
24,A00042,France,General,17
25,A00043,Taiwan,Student,14
26,A00044,United States of America,General,7
27,A00045,Japan,General,1
28,A00046,Japan,General,3
29,A00047,China,Student,12
30,A00048,China,General,12
31,A00050,Republic of North Macedonia,General,
32,A00051,Japan,General,10
33,A00052,Japan,General,3
34,A00053,Japan,General,8
35,A00054,Japan,General,10
36,A00055,Japan,General,16
37,A00056,Finland,General,5
38,A00057,Japan,General,15
39,A00058,United States of America,General,4
40,A00059,China,General,4
41,A00060,Belgium,Student,10
42,A00061,Taiwan,General,16
43,A00062,Japan,General,
44,A00064,Japan,General,8
45,A00065,Japan,General,16
46,A00066,UK,General,10
47,A00067,United States of America,General,0
48,A00068,United States of America,General,
49,A00069,Thailand,General,3
50,A00070,United States of America,General,
51,A00071,United States of America,General,13
52,A00072,United States of America,General,7
53,A00073,Japan,General,4
54,A00074,United States of America,General,
55,A00075,Chile,General,11
56,A00076,India,Developing country (*上記注釈をご参照ください),8
57,A00077,Canada,General,4
58,A00078,Japan,General,14
59,A00079,Japan,General,
60,A00080,Taiwan,Student,17
61,A00081,Slovenia,General,15
62,A00082,France,General,
63,A00083,Japan,General,10
64,A00084,Poland,General,16
65,A00085,UK,General,15
66,A00086,United States of America,General,3
67,A00087,Slovenia,Accompanying guest,
68,A00088,Japan,General,5
69,A00089,Japan,Guest (*このカテゴリは選択しないでください),16
70,A00090,India,Developing country (*上記注釈をご参照ください),
71,A00091,United States of America,General,9
72,A00092,United States of America,General,9
73,A00093,Japan,General,7
74,A00094,Japan,General,14
75,A00095,France,General,14
76,A00096,Japan,General,
77,A00097,India,Student,10
78,A00098,United States of America,General,17
