,from_person,to_person,timestamp,connection_id,forward
0,A01313,A01451,2024-08-09 18:04:17.499,A01313_A01451,True
1,A01451,A01313,2024-08-09 18:04:17.499,A01451_A01313,False
2,A00777,A01306,2024-08-16 15:20:09.809,A00777_A01306,True
3,A01306,A00777,2024-08-16 15:20:09.809,A01306_A00777,False
4,A01385,A00867,2024-08-16 18:37:31.096,A01385_A00867,True
5,A00867,A01385,2024-08-16 18:37:31.096,A00867_A01385,False
6,A00570,A02294,2024-08-17 16:17:38.183,A00570_A02294,True
7,A02294,A00570,2024-08-17 16:17:38.183,A02294_A00570,False
8,A01586,A01599,2024-08-17 20:43:28.973,A01586_A01599,True
9,A01599,A01586,2024-08-17 20:43:28.973,A01599_A01586,False
10,A02512,A02020,2024-08-19 10:26:02.496,A02512_A02020,True
11,A02020,A02512,2024-08-19 10:26:02.496,A02020_A02512,False
12,A02526,A02020,2024-08-19 17:11:29.211,A02526_A02020,True
13,A02020,A02526,2024-08-19 17:11:29.211,A02020_A02526,False
14,A00566,A00565,2024-08-19 21:57:47.060,A00566_A00565,True
15,A00565,A00566,2024-08-19 21:57:47.060,A00565_A00566,False
16,A01894,A01162,2024-08-20 17:18:51.590,A01894_A01162,True
17,A01162,A01894,2024-08-20 17:18:51.590,A01162_A01894,False
18,A00596,A00455,2024-08-21 10:10:02.398,A00596_A00455,True
19,A00455,A00596,2024-08-21 10:10:02.398,A00455_A00596,False
20,A03768,A03907,2024-08-21 16:16:25.506,A03768_A03907,True
21,A03907,A03768,2024-08-21 16:16:25.506,A03907_A03768,False
22,A00702,A02294,2024-08-21 22:28:18.811,A00702_A02294,True
23,A02294,A00702,2024-08-21 22:28:18.811,A02294_A00702,False
24,A03642,A03462,2024-08-22 11:37:24.401,A03642_A03462,True
25,A03462,A03642,2024-08-22 11:37:24.401,A03462_A03642,False
26,A00804,A00596,2024-08-22 13:09:29.995,A00804_A00596,True
27,A00596,A00804,2024-08-22 13:09:29.995,A00596_A00804,False
28,A00104,A01258,2024-08-22 14:59:51.773,A00104_A01258,True
29,A01258,A00104,2024-08-22 14:59:51.773,A01258_A00104,False
30,A01258,A00448,2024-08-22 15:01:27.488,A01258_A00448,True
31,A00448,A01258,2024-08-22 15:01:27.488,A00448_A01258,False
32,A00448,A00104,2024-08-22 15:02:23.340,A00448_A00104,True
33,A00104,A00448,2024-08-22 15:02:23.340,A00104_A00448,False
34,A00601,A00604,2024-08-22 18:05:35.755,A00601_A00604,True
35,A00604,A00601,2024-08-22 18:05:35.755,A00604_A00601,False
36,A00487,A00395,2024-08-22 18:18:35.132,A00487_A00395,True
37,A00395,A00487,2024-08-22 18:18:35.132,A00395_A00487,False
38,A00596,A02297,2024-08-22 18:18:44.274,A00596_A02297,True
39,A02297,A00596,2024-08-22 18:18:44.274,A02297_A00596,False
40,A02526,A02531,2024-08-23 15:07:13.750,A02526_A02531,True
41,A02531,A02526,2024-08-23 15:07:13.750,A02531_A02526,False
42,A00910,A02784,2024-08-23 15:35:56.032,A00910_A02784,True
43,A02784,A00910,2024-08-23 15:35:56.032,A02784_A00910,False
44,A01052,A01548,2024-08-23 15:56:42.607,A01052_A01548,True
45,A01548,A01052,2024-08-23 15:56:42.607,A01548_A01052,False
46,A01548,A03091,2024-08-23 16:45:45.343,A01548_A03091,True
47,A03091,A01548,2024-08-23 16:45:45.343,A03091_A01548,False
48,A01514,A01505,2024-08-23 16:55:43.742,A01514_A01505,True
49,A01505,A01514,2024-08-23 16:55:43.742,A01505_A01514,False
50,A03091,A01052,2024-08-23 17:02:51.084,A03091_A01052,True
51,A01052,A03091,2024-08-23 17:02:51.084,A01052_A03091,False
52,A02320,A03091,2024-08-23 17:03:14.600,A02320_A03091,True
53,A03091,A02320,2024-08-23 17:03:14.600,A03091_A02320,False
54,A02320,A01052,2024-08-23 17:03:23.782,A02320_A01052,True
55,A01052,A02320,2024-08-23 17:03:23.782,A01052_A02320,False
56,A01548,A02320,2024-08-23 17:09:18.372,A01548_A02320,True
57,A02320,A01548,2024-08-23 17:09:18.372,A02320_A01548,False
58,A02320,A02076,2024-08-23 17:23:24.982,A02320_A02076,True
59,A02076,A02320,2024-08-23 17:23:24.982,A02076_A02320,False
60,A02076,A01052,2024-08-23 17:31:18.267,A02076_A01052,True
61,A01052,A02076,2024-08-23 17:31:18.267,A01052_A02076,False
62,A02523,A02293,2024-08-23 19:03:00.538,A02523_A02293,True
63,A02293,A02523,2024-08-23 19:03:00.538,A02293_A02523,False
64,A01545,A02945,2024-08-23 20:00:11.911,A01545_A02945,True
65,A02945,A01545,2024-08-23 20:00:11.911,A02945_A01545,False
66,A01548,A01574,2024-08-23 21:42:54.936,A01548_A01574,True
67,A01574,A01548,2024-08-23 21:42:54.936,A01574_A01548,False
68,A02330,A00060,2024-08-24 06:55:56.580,A02330_A00060,True
69,A00060,A02330,2024-08-24 06:55:56.580,A00060_A02330,False
70,A01070,A00368,2024-08-24 11:03:24.972,A01070_A00368,True
71,A00368,A01070,2024-08-24 11:03:24.972,A00368_A01070,False
72,A00786,A00785,2024-08-24 13:46:18.715,A00786_A00785,True
73,A00785,A00786,2024-08-24 13:46:18.715,A00785_A00786,False
74,A00786,A01001,2024-08-24 13:54:00.667,A00786_A01001,True
75,A01001,A00786,2024-08-24 13:54:00.667,A01001_A00786,False
76,A00596,A03107,2024-08-24 17:06:23.529,A00596_A03107,True
77,A03107,A00596,2024-08-24 17:06:23.529,A03107_A00596,False
78,A02319,A02117,2024-08-24 17:57:20.437,A02319_A02117,True
79,A02117,A02319,2024-08-24 17:57:20.437,A02117_A02319,False
80,A01124,A01313,2024-08-24 18:37:42.234,A01124_A01313,True
81,A01313,A01124,2024-08-24 18:37:42.234,A01313_A01124,False
82,A01599,A02729,2024-08-24 23:18:44.344,A01599_A02729,True
83,A02729,A01599,2024-08-24 23:18:44.344,A02729_A01599,False
84,A01586,A02729,2024-08-24 23:18:47.805,A01586_A02729,True
85,A02729,A01586,2024-08-24 23:18:47.805,A02729_A01586,False
86,A01204,A01205,2024-08-24 23:47:22.761,A01204_A01205,True
