from_field_name,Acarology and Arachnology,Alien insects,Apiculture and Sericulture,Biological Control,Chemical Ecology,"Conservation, Biodiversity and Biogeography",Development and Reproduction,Ecology and Evolution,Genetics and Genomics,Immunology and Pathology,Insect-Microbe Interactions,"Insects as Food, Feed and Pollinators",Medical and Veterinary Entomology,Others,Pest Management,"Pesticides, GM Crops, Resistance and Toxicology","Physiology, Neurobiology and Molecular Biology",Social Insects,Special Issue: Biomimetics and Robotics,"Systematics, Phylogeny and Morphology",Unselected
Acarology and Arachnology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apiculture and Sericulture,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biological Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical Ecology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Conservation, Biodiversity and Biogeography",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Development and Reproduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecology and Evolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genetics and Genomics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immunology and Pathology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Insect-Microbe Interactions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Insects as Food, Feed and Pollinators",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical and Veterinary Entomology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pest Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pesticides, GM Crops, Resistance and Toxicology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Physiology, Neurobiology and Molecular Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Social Insects,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special Issue: Biomimetics and Robotics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Systematics, Phylogeny and Morphology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unselected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
