from_country,AE,AR,AT,AU,BD,BE,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,LA,LK,LV,MM,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PR,PS,PT,RE,RO,RS,RU,SE,SG,SI,SK,TH,TR,TW,US,UY,ZA,ZM
AE,0.00068,0.0004,0.00474,0.11066,0.00656,0.08658,0.01738,0.04658,0.0154,0.0076,0.1998,0.00584,0.049,0.11738,0.00166,0.002,0.05,0.02648,0.10184,0.14606,0.00418,0.02694,0.00884,0.00376,0.00104,0.0155,0.00186,0.00354,0.05106,0.00572,0.07062,1.969,0.01256,0.04172,0.00414,0.00148,0.00182,0.00032,0.01956,0.01034,0.02362,0.00544,0.00068,0.0172,0.02046,0.00088,0.01062,0.00194,0.01044,0.00144,0.0052,0.00388,0.0049,0.00416,0.0273,0.03278,0.00338,0.00136,0.07994,0.01046,0.15394,0.30348,0.00172,0.02342,0.00072
AR,0.0004,0.00012,0.00246,0.0556,0.00342,0.04304,0.00724,0.0241,0.00692,0.00294,0.10278,0.003,0.0253,0.05876,0.0006,0.00104,0.02478,0.01236,0.04872,0.07538,0.002,0.0127,0.00408,0.00212,0.00024,0.0076,0.00056,0.00226,0.02558,0.00284,0.03662,0.98382,0.00648,0.01998,0.00216,0.0008,0.00088,0.0002,0.00942,0.00562,0.01192,0.00278,0.00044,0.00848,0.0099,0.00048,0.00548,0.00086,0.00566,0.00034,0.00292,0.00174,0.0024,0.00212,0.01342,0.01754,0.00168,0.00054,0.03966,0.00476,0.07672,0.1518,0.00104,0.01216,0.00024
AT,0.00474,0.00246,0.01672,0.49552,0.02728,0.40134,0.07344,0.20698,0.06798,0.03074,0.9323,0.02598,0.22636,0.53174,0.0077,0.00818,0.22956,0.11952,0.4503,0.65636,0.01844,0.11518,0.04078,0.01774,0.00406,0.06794,0.00712,0.0162,0.23402,0.02514,0.32282,8.80552,0.05488,0.1807,0.01652,0.0069,0.00788,0.0011,0.0869,0.04596,0.11106,0.026,0.00334,0.07694,0.08362,0.00322,0.05098,0.00944,0.04696,0.00546,0.02668,0.01776,0.02094,0.02068,0.12834,0.15234,0.01652,0.0076,0.36326,0.04318,0.69326,1.38174,0.0089,0.10704,0.00374
AU,0.11066,0.0556,0.49552,11.13172,0.62752,9.15448,1.69106,4.81326,1.5568,0.71278,21.7127,0.60382,5.27682,12.3723,0.16554,0.18756,5.2833,2.7627,10.40994,15.32924,0.40802,2.70458,0.93386,0.40512,0.08002,1.5893,0.16336,0.38332,5.31852,0.60768,7.50878,203.46276,1.32174,4.37718,0.4121,0.16604,0.19064,0.02664,1.99786,1.09576,2.56302,0.59936,0.08282,1.8209,1.9739,0.08234,1.16634,0.21762,1.12802,0.13602,0.63078,0.40914,0.49372,0.46316,2.96524,3.6303,0.38482,0.16186,8.37342,1.01778,16.14464,32.16146,0.1907,2.51174,0.0843
BD,0.00656,0.00342,0.02728,0.62752,0.01728,0.50306,0.09234,0.26554,0.08772,0.03912,1.2015,0.03398,0.29454,0.6792,0.00914,0.01036,0.29066,0.1505,0.58062,0.84204,0.023,0.14788,0.05162,0.0234,0.00462,0.0901,0.0093,0.02038,0.29342,0.0346,0.4155,11.2012,0.07224,0.24196,0.02302,0.00952,0.01082,0.00144,0.111,0.0618,0.14258,0.03354,0.00452,0.1007,0.10808,0.00406,0.06508,0.01208,0.06066,0.0075,0.03456,0.02188,0.02762,0.02628,0.16456,0.20246,0.02106,0.00972,0.46294,0.05626,0.8985,1.77104,0.0105,0.14034,0.00428
BE,0.08658,0.04304,0.40134,9.15448,0.50306,6.45936,1.36732,3.76724,1.25608,0.57114,17.3882,0.48524,4.22532,9.8204,0.13076,0.15602,4.05676,2.15974,8.27518,12.17326,0.3305,2.1798,0.7436,0.32928,0.0637,1.27336,0.13458,0.30582,4.22308,0.47992,5.94668,157.78508,1.05956,3.52446,0.33054,0.131,0.15534,0.0217,1.59798,0.8897,2.00098,0.48418,0.06514,1.45384,1.58242,0.06606,0.95148,0.17646,0.86614,0.11068,0.50018,0.32728,0.39686,0.37678,2.37512,2.889,0.30638,0.13316,6.58202,0.8136,12.86976,25.46182,0.15236,2.009,0.0631
BR,0.01738,0.00724,0.07344,1.69106,0.09234,1.36732,0.22632,0.71008,0.22876,0.1044,3.21812,0.08966,0.78108,1.82376,0.02382,0.02782,0.79612,0.41326,1.54376,2.267,0.06056,0.40142,0.1372,0.06048,0.01166,0.2357,0.02492,0.05704,0.79022,0.08866,1.10356,30.32446,0.19676,0.64288,0.06232,0.02412,0.02954,0.00378,0.2985,0.1651,0.38194,0.08862,0.0122,0.2726,0.29138,0.0119,0.17284,0.03332,0.16746,0.0213,0.09126,0.05944,0.07346,0.06768,0.43952,0.53452,0.05714,0.025,1.24618,0.15098,2.39054,4.77812,0.0283,0.37104,0.01164
CA,0.04658,0.0241,0.20698,4.81326,0.26554,3.76724,0.71008,1.69092,0.65798,0.30518,9.11406,0.25248,2.22874,5.1642,0.06962,0.08172,2.1561,1.14398,4.38526,6.43698,0.17424,1.14154,0.39974,0.17458,0.0355,0.6704,0.07132,0.1602,2.21576,0.25422,3.13438,83.77478,0.5527,1.8425,0.17586,0.06924,0.0805,0.0109,0.84552,0.46396,1.05308,0.25544,0.03574,0.76532,0.83606,0.03286,0.49846,0.09344,0.4674,0.058,0.2649,0.17478,0.20704,0.19442,1.2534,1.52396,0.16078,0.0675,3.47976,0.42528,6.77186,13.43816,0.08338,1.0559,0.03424
CH,0.0154,0.00692,0.06798,1.5568,0.08772,1.25608,0.22876,0.65798,0.1828,0.09574,2.95798,0.08186,0.7151,1.68608,0.02312,0.02494,0.72608,0.3735,1.42368,2.10344,0.05754,0.37316,0.12852,0.05466,0.01182,0.21634,0.02282,0.05214,0.72322,0.0833,1.0196,27.84474,0.17812,0.59494,0.0553,0.0217,0.02596,0.00382,0.27886,0.15166,0.35154,0.08132,0.0113,0.24888,0.26966,0.01132,0.15894,0.02922,0.15532,0.01904,0.0863,0.05562,0.06694,0.06262,0.39972,0.49282,0.05164,0.02372,1.14782,0.13666,2.1928,4.39788,0.02678,0.34096,0.011
CL,0.0076,0.00294,0.03074,0.71278,0.03912,0.57114,0.1044,0.30518,0.09574,0.03288,1.35982,0.0373,0.32666,0.7706,0.0096,0.01228,0.32972,0.17288,0.654,0.94932,0.0259,0.16912,0.05716,0.02656,0.00544,0.09646,0.01096,0.02378,0.32852,0.03798,0.46664,12.70578,0.08234,0.27056,0.0272,0.00968,0.01196,0.00154,0.1246,0.06912,0.16086,0.0368,0.00498,0.11368,0.11968,0.005,0.07372,0.013,0.06854,0.0084,0.03804,0.02506,0.03092,0.02836,0.1825,0.22502,0.02356,0.00966,0.5274,0.06414,0.99388,2.0011,0.01182,0.15312,0.00476
