from_field_name,Acarology and Arachnology,Alien insects,Apiculture and Sericulture,Biological Control,Chemical Ecology,"Conservation, Biodiversity and Biogeography",Development and Reproduction,Ecology and Evolution,Genetics and Genomics,Immunology and Pathology,Insect-Microbe Interactions,"Insects as Food, Feed and Pollinators",Medical and Veterinary Entomology,Others,Pest Management,"Pesticides, GM Crops, Resistance and Toxicology","Physiology, Neurobiology and Molecular Biology",Social Insects,Special Issue: Biomimetics and Robotics,"Systematics, Phylogeny and Morphology",Unselected
Acarology and Arachnology,2.573591389479109,2.210959548340327,2.1261522500516867,4.127040702488789,3.484317867244757,3.2985636027823415,2.262668911793888,5.463429457621416,2.8617874547912763,1.4665015511754054,3.545270623464466,3.208162935949484,3.250663280255192,1.9451273949031755,5.0208410839221935,2.491094036844016,3.330190015959665,3.036026965887694,1.6742187373219952,3.7516227101882564,2.4865955359888283
Alien insects,2.210959548340327,3.589178925826718,2.4980293365771225,4.885924563928439,4.085555586159964,3.891677365815491,2.6717324416941755,6.405517888788901,3.3766598878770293,1.72763255352526,4.149127090654038,3.769396904068217,3.8029918697781997,2.2952993268851163,5.903179927327413,2.950607286644676,3.9163143661355284,3.596769194707894,1.982173203733512,4.427140836431712,2.936535273004643
Apiculture and Sericulture,2.1261522500516867,2.4980293365771225,3.2929987879746054,4.675820486545765,3.9200352565253085,3.7555590624565793,2.5733860498571666,6.158146137889084,3.244447199200032,1.6534546233871317,3.995621639695054,3.6141192254268577,3.672592369158101,2.206501663267155,5.679655343909449,2.824667024907492,3.7648927888586665,3.43192411081591,1.9122951528465337,4.234474155973151,2.8398757972134425
Biological Control,4.127040702488789,4.885924563928439,4.675820486545765,12.855274078758882,7.719868483439303,7.28130094307323,5.045553560869043,12.052553909010623,6.342204820281198,3.218810880496354,7.809858247907009,7.0567262245038975,7.151956616309352,4.337255913869938,11.1362654058708,5.531413124003045,7.307703860419929,6.706269840559733,3.721585894158578,8.315555542139085,5.5260984745480375
Chemical Ecology,3.484317867244757,4.085555586159964,3.9200352565253085,7.719868483439303,8.892918526648527,6.165586524443837,4.256041258022476,10.04494944106729,5.326641178078614,2.7167644767996064,6.502927230104108,5.887216276611494,6.0217734929171325,3.643203403105735,9.283253080144766,4.6414353210619455,6.197930818297353,5.689927000973157,3.1166577405289617,6.991083486127081,4.693468343091703
"Conservation, Biodiversity and Biogeography",3.2985636027823415,3.891677365815491,3.7555590624565793,7.28130094307323,6.165586524443837,8.160381273838448,3.995700319293509,9.597966571623338,5.036416594325884,2.5642823133188664,6.197815922917593,5.670724753538917,5.718008230808854,3.4217159315757435,8.789191522682636,4.384139002130245,5.830441309918003,5.346718319680112,2.9672616110480736,6.592592953793103,4.37329536962699
Development and Reproduction,2.262668911793888,2.6717324416941755,2.5733860498571666,5.045553560869043,4.256041258022476,3.995700319293509,3.8292926018247284,6.641588838794463,3.4788822903917027,1.7622544996683538,4.281428638900833,3.908981964655481,3.921872419698975,2.3460195586568355,6.09945767018694,3.0340182992202753,4.029092639093133,3.666559354980873,2.047543481833887,4.517494878846216,3.0169699617333556
Ecology and Evolution,5.463429457621416,6.405517888788901,6.158146137889084,12.052553909010623,10.04494944106729,9.597966571623338,6.641588838794463,22.053806757980798,8.33523116416096,4.243605738096125,10.212317312716152,9.214398019708133,9.383166161077844,5.709498085646714,14.6439318613001,7.236303551288998,9.68390522942059,8.76540599210345,4.86447593049868,11.01824926258252,7.352768739977538
Genetics and Genomics,2.8617874547912763,3.3766598878770293,3.244447199200032,6.342204820281198,5.326641178078614,5.036416594325884,3.4788822903917027,8.33523116416096,6.10084546062237,2.2459051070784573,5.385769960146261,4.882284172147315,4.941998741237868,2.9832231685876702,7.6431085796289855,3.825394868559263,5.103947531039004,4.6249354747498845,2.5636526563478914,5.718631595618119,3.843838106424449
Immunology and Pathology,1.4665015511754054,1.72763255352526,1.6534546233871317,3.218810880496354,2.7167644767996064,2.5642823133188664,1.7622544996683538,4.243605738096125,2.2459051070784573,1.5174031691014502,2.7459132979751257,2.5026375577776534,2.5336988593753875,1.515891734260488,3.8830126646204874,1.9478112253504198,2.569429195366026,2.339667687856646,1.3139355667611967,2.904433763679306,1.9253206900669984
