presentation_id,presentation_number,presentation_title,presentation_abstract,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49
Poster8-01,P0270,***,***,0.522294,0.78973854,-1.2098825,-1.5164279,1.0278578,-0.6181113,-1.5785482,0.27693805,-2.1643326,-0.039040353,0.7215252,-1.1555336,-3.981095,0.87597924,0.69400156,-1.6374761,0.60000783,1.9619967,-2.1425917,-1.6701063,-0.5368673,-1.002098,-0.0690187,-0.88000757,-0.32341397,2.0580134,-0.005537255,-0.6848119,-0.64962906,1.1968324,0.53233695,-0.59654135,-0.7483301,-0.1883117,0.5077728,-0.03311716,2.4025357,0.71917194,1.0847449,0.36434066,1.9805722,-0.3617164,-1.2041044,0.7518214,0.32239187,0.004455426,-0.06925555,0.89938784,1.0178736,1.9154519
Poster8-02,P0271,***,***,-0.012452588,0.45862988,-0.87040985,-2.88884,-1.1445091,0.045338273,-1.3657002,-1.476404,-3.011176,1.4118614,-0.44813088,0.31511164,-3.4614413,2.360533,-0.29380098,-1.6639824,-0.2966415,1.3276856,-1.8330904,-1.6006366,-0.13386542,-1.6065618,0.1232944,-0.72945476,1.2732819,1.2834829,-0.6409942,-0.009474776,-1.8702878,1.3059278,0.9261656,-0.65912205,-1.4488178,-0.6449692,1.7407204,1.153466,1.081131,2.6849942,0.0460743,-0.46170804,-0.13223022,0.4655066,-1.7322406,0.66179705,-0.29414153,1.1027999,1.4220175,-0.104652576,1.6138428,1.8134726
Poster8-03,P0272,***,***,0.29381186,0.083503045,1.6512206,-2.2992165,-0.45839265,-2.4242997,-1.412792,0.3002284,-2.1618197,-0.39540002,1.3470209,1.7443457,-1.618078,-1.9730299,0.6868433,-0.983893,0.64274645,1.3379645,-1.7339945,-1.6896224,-0.9138855,0.6596242,0.60618025,-0.10897675,2.060873,0.859345,-1.6935508,1.6777906,-0.8829021,-0.7821754,1.9219059,-0.9756574,-2.157232,1.5727912,0.72174484,1.1106075,0.22605105,1.8130679,0.947925,1.4913149,-0.37828803,0.572768,-0.17790513,0.059639066,0.115080565,-0.65653896,0.34929016,1.9799542,-2.2647946,1.4009882
Poster8-04,P0273,***,***,-0.3774293,-0.07507747,-0.7574136,-1.5608147,0.82204145,-1.6244521,-1.1121699,-0.32569516,0.4003158,-0.1909129,0.6788747,-0.06370684,-1.1177802,1.1923312,0.9363916,-1.4897319,1.519125,0.9233131,-1.5958409,0.092564724,0.21279985,-2.6031947,0.41785762,-0.19199648,2.316257,-0.7707368,-0.22897723,0.47477153,0.29535228,0.72145796,0.8708914,0.24893968,-0.07680306,-0.9296511,2.9019163,-0.08321711,1.0888138,1.0041604,0.660079,-0.14867815,-0.7809531,-1.2464584,0.6920054,-1.1362338,1.1789342,-0.34471565,2.2109604,1.3021204,1.917406,0.8357754
1-1-02,1-1-02,***,***,0.52224094,1.4859693,-0.3022689,-3.2279625,1.8522227,-0.673345,-2.856107,-0.2715212,0.2389399,-0.47714603,3.037144,0.66257966,-2.440071,2.1433728,-1.7475911,-1.0675756,2.8858566,0.28822747,-1.7540691,0.23407927,0.69122505,-1.5405155,0.12582667,2.1911678,3.5782216,-1.3043116,0.5101484,1.262205,-2.8302708,0.029469866,-0.3476646,-0.36988467,0.5451776,1.569719,1.8206187,1.9177886,-0.10504542,0.85816425,2.7527428,0.86639905,-2.3269682,2.053934,-1.0294315,2.0960007,0.85097337,0.14310047,1.1854676,2.130687,1.5468335,0.4460013
Poster8-05,P0274,***,***,0.39995047,-0.82981825,1.1285762,-0.872881,2.1099403,-3.1028328,1.2763463,0.5065938,0.0049344874,1.1153803,-1.2586318,-1.539234,-1.8140525,1.4919776,-0.10418992,-0.99945575,0.5842365,2.7840722,-2.5462813,-0.9171149,-0.24515355,-1.2036228,0.36522558,0.6255635,0.5881445,-0.3355663,-2.1994548,0.58713835,-1.2808832,-0.050312497,-1.036761,-1.1644987,0.67785,0.5589429,0.1941337,1.0418693,3.2289503,0.27610993,0.8092289,0.68351597,0.7730913,0.24730274,-0.76535213,3.0987241,0.7471885,0.82458264,2.1001372,-1.5690525,0.56192553,0.9803172
Poster8-06,P0275,***,***,-1.2969786,0.21072915,2.308581,0.67116714,0.50637645,-4.328408,0.99751955,0.9775805,0.95945615,-0.046220943,-0.09474713,-1.00198,0.6527128,0.52196217,-0.020708129,0.26126337,0.97788906,1.31472,-2.4594839,-0.8030325,-2.348915,-0.09149116,1.0047884,0.98879963,2.5463474,1.1535307,0.050602384,-0.0054772273,-1.4140166,0.84546876,-0.33024618,-1.7124115,-3.9179087,-0.77499706,2.1066642,-0.006494934,-0.80345553,0.5830371,2.3814216,-0.33462664,-0.79673415,-0.337732,-0.53544945,-0.12306508,0.11473952,2.2274034,0.06827657,0.8355178,-0.052112706,2.4075074
Poster8-07,P0276,***,***,-0.44461322,0.9279373,3.8881342,-2.330131,-1.7971059,-0.8300406,0.19721514,1.4067576,-2.6798704,1.1636436,1.4095236,0.9305868,0.39935836,0.587518,1.1325443,-0.261504,0.5281918,1.4590939,-2.6179323,-2.6875014,1.0146577,-2.571866,-1.8365922,-0.73879266,1.3938464,3.3115153,-2.22725,2.2227492,-0.9422719,-0.3819239,0.46725506,-1.8900987,-1.9944942,-0.40612328,1.7255273,0.66015863,1.9168857,1.1576128,0.7773677,1.4402076,0.6745,0.21207923,1.2867446,-0.017305836,0.84906167,2.0972438,0.34369016,2.21414,-1.5251426,-0.9292831
Poster8-08,P0277,***,***,-1.1688907,0.53164846,-0.14937057,-0.040290903,0.7758241,-2.3335638,0.2896686,-0.3245947,-1.2928402,-0.121374644,0.4122356,-1.0053487,-2.280115,1.9483002,-0.8726864,-1.0024801,-0.10464677,0.12161035,-1.8592783,-1.7235557,0.50511485,-1.412141,-0.28545418,1.645038,1.4719025,-1.8810242,-0.7682512,-0.22661075,-2.273527,-0.1976497,-0.87510526,0.6402945,1.3787912,-2.359878,1.0165968,-0.07611152,0.47746477,-1.4089468,4.2442627,2.1650376,0.8709006,-0.6818307,1.9327449,-0.36624426,0.60973495,-2.1750696,1.7839774,-1.0354493,0.10563218,1.3255211
Poster8-09,P0278,***,***,1.8456154,-0.5035697,1.4695817,-0.3368893,-0.14471263,-1.4241763,1.7302362,1.9320977,-0.8391948,0.26301512,0.83902955,-0.853865,-1.1616191,3.744598,0.29024234,0.9446203,0.33442315,2.011397,-2.8851752,-2.9778993,-1.2655816,-0.72773033,-2.2581894,-0.3993399,0.2412128,1.1428148,-0.66340303,0.9125566,1.0376433,0.4022885,0.89627206,-1.8830909,2.0883293,-0.16732498,3.274656,1.4881516,0.87129545,-1.3006678,0.13594225,-0.64718235,1.274218,-0.74999696,0.5120725,-0.16313197,1.4680258,1.8643644,-1.3510035,0.51189375,3.7358673,1.5222659
